time	V(shifted)
2.672412089096717e-001	5.468998e-001
2.675628207892339e-001	5.454806e-001
2.682016772907271e-001	5.434103e-001
2.687901395242877e-001	5.418640e-001
2.692035739241805e-001	5.407400e-001
2.695951794643186e-001	5.394012e-001
2.700000000000000e-001	5.377328e-001
2.700573975174225e-001	5.374361e-001
2.701721925522673e-001	5.368246e-001
2.704017826219570e-001	5.355679e-001
2.707781097751189e-001	5.336614e-001
2.714536630505621e-001	5.312533e-001
2.721084424384900e-001	5.312400e-001
2.729867726275795e-001	5.345122e-001
2.730000000000000e-001	5.346025e-001
2.730080190619495e-001	5.346733e-001
2.730240571858484e-001	5.348167e-001
2.730561334336462e-001	5.351118e-001
2.732485909204329e-001	5.370906e-001
2.735052009028151e-001	5.401365e-001
2.740184208675796e-001	5.467941e-001
2.750448607971087e-001	5.597857e-001
2.760000000000000e-001	5.705000e-001
2.761059982646754e-001	5.712607e-001
2.763179947940262e-001	5.725893e-001
2.767419878527277e-001	5.744045e-001
2.775899739701307e-001	5.756065e-001
2.788056924157819e-001	5.743273e-001
2.790000000000000e-001	5.737775e-001
2.791495384126406e-001	5.731221e-001
2.794486152379216e-001	5.716549e-001
2.800467688884836e-001	5.679225e-001
2.812413840052411e-001	5.583287e-001
2.820000000000000e-001	5.509907e-001
2.821307194622801e-001	5.494440e-001
2.823921583868403e-001	5.462795e-001
2.829150362359607e-001	5.398477e-001
2.839607919342016e-001	5.274325e-001
2.850000000000000e-001	5.159628e-001
2.851358524963878e-001	5.147669e-001
2.854075574891634e-001	5.126399e-001
2.859509674747146e-001	5.099335e-001
2.869218170702644e-001	5.101625e-001
2.879413924861237e-001	5.159043e-001
2.880000000000000e-001	5.165069e-001
2.880062868954831e-001	5.165891e-001
2.880188606864493e-001	5.167546e-001
2.880440082683817e-001	5.170912e-001
2.881948937599761e-001	5.192499e-001
2.883960744154354e-001	5.224087e-001
2.887984357263538e-001	5.291582e-001
2.896031583481908e-001	5.421085e-001
2.908116980387277e-001	5.589502e-001
2.910000000000000e-001	5.610148e-001
2.910477565955872e-001	5.613838e-001
2.911432697867618e-001	5.620689e-001
2.913342961691108e-001	5.632123e-001
2.917163489338089e-001	5.648307e-001
2.924804544632051e-001	5.668768e-001
2.931132523242339e-001	5.681090e-001
2.936197411408648e-001	5.691933e-001
2.940000000000000e-001	5.702491e-001
2.940544914751264e-001	5.704556e-001
2.941634744253791e-001	5.708869e-001
2.943814403258845e-001	5.717968e-001
2.947420603538039e-001	5.732529e-001
2.953985536212446e-001	5.752615e-001
2.960643477508371e-001	5.755025e-001
2.969813517875867e-001	5.731114e-001
2.970000000000000e-001	5.730150e-001
2.970229169436168e-001	5.728542e-001
2.970687508308505e-001	5.725225e-001
2.971544018653129e-001	5.718613e-001
2.973257039342377e-001	5.704169e-001
2.976683080720873e-001	5.673566e-001
2.983535163477865e-001	5.618170e-001
2.992226870300117e-001	5.575544e-001
3.000000000000000e-001	5.567915e-001
3.000452270975631e-001	5.570160e-001
3.001356812926893e-001	5.575201e-001
3.003165896829416e-001	5.587557e-001
3.006784064634462e-001	5.618227e-001
3.014020400244556e-001	5.685663e-001
